Input Size,Toff_Decomp_Time,Write_Out_Toff_Time,Ttl_Qubits,Toffoli_Gate_Count ,Circ_Depth_Toff
2,0.12043333053588867,-1,9, 68,391
4,0.611793041229248,-1,17, 206,3034
8,3.9255571365356445,-1,33, 510,17205
16,26.18169403076172,-1,65, 1118,82294
