Input Size,Toff_Decomp_Time,Write_Out_Toff_Time,Ttl_Qubits,Toffoli_Gate_Count ,Circ_Depth_Toff
2,0.1422421932220459,-1,20, 344,495
4,0.29893922805786133,-1,36, 872,919
8,0.9466474056243896,-1,68, 2216,2263
16,4.232069253921509,-1,132, 6056,7463
2,0.3694651126861572,-1,19, 258,3127
4,1.8103654384613037,-1,35, 686,14938
8,10.294701099395752,-1,67, 1830,65808
